"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"2WP","DSC","","Harwin Inc","M7581-05","Digikey","952-2169-ND","PICorEdison","1"
"3WP","DSC","RGB LED","","","","","RGBIndicator","1"
"3WP","DSC","Servo","","","","","Servo","1"
"5WP","DSC","+3.3V","Sullins Connector Solutions","PPTC051LFBN-RC","Digikey","S6103-ND","Out3V3","1"
"5WP","DSC","+5V","Sullins Connector Solutions","PPTC051LFBN-RC","Digikey","S6103-ND","Out5V","1"
"5WP","DSC","ICSP","TE Connectivity AMP Connectors","640456-5","Digikey","A19471-ND","ICSP","1"
"5WP","DSC","LEFT MOTOR","TE Connectivity AMP Connectors","281698-5","Digikey","A106216-ND","MotorLeft","1"
"5WP","DSC","RIGHT MOTOR","TE Connectivity AMP Connectors","281698-5","Digikey","A106216-ND","MotorRight","1"
"74LVC1G3157DBVRG4","DBV6","","Texas Instruments","SN74LVC1G3157DBVR","Digikey","296-14908-1-ND","U6 U7 U10 U11","4"
"1206YG225ZATEA","SM1206","4.7uF","TDK","C3216X7R1H475K160AC","Digikey","445-8032-1-ND","C21 C22","2"
"865080143009","USER","220uF","Wurth Electronics Inc","865080143009","Digikey","732-8474-1-ND","C23","1"
"","USER","","Wurth Electronics Inc","865080245009","Digikey","732-8492-1-ND","C24","1"
"AL5809","USER","","Diodes Incorporated","AL5809-15S1-7","Digikey","AL5809-15S1-7DICT-ND","U14 U15","2"
"AOZ1282CI","USER","","Alpha & Omega Semiconductor Inc.","AOZ1282CI","Digikey","785-1613-1-ND","U19 U20","2"
"B2B-PH JST 2mm","USER","","JST Sales America Inc.","B2B-PH-K-S(LF)(SN)","Digikey","455-1704-ND","LidarMotor","1"
"B4B-PH JST 2mm","USER","","JST Sales America Inc","B4B-PH-K-S(LF)(SN)","Digikey","455-1706-ND","LidarData","1"
"BNO055","USER","","","","","","U1","1"
"C-0603","USER","10nF","Yageo","CC0603KRX7R9BB103","Digkiey","311-1085-2-ND","C2","1"
"C-0603","USER","100nF","Yageo","CC0603KRX7R7BB104","Digkiey","311-1088-2-ND","C7 C14 C15 C20 C19 C16 C17 C28 C18 C9 C10","11"
"","USER","","Yageo","CC0603KRX7R9BB104","Digkiey","311-1344-2-ND","C4","1"
"","USER","","Yageo","CC0603KRX7R7BB104","Digkiey","311-1088-2-ND","C11 C12","2"
"C-0603","USER","220nF","TDK Corporation","C1608X7R1H224K080AB","Digikey","311-1085-2-ND","C3","1"
